ref,who,common,scientific,genus,lng,lat,date_planted,address,city,state,zip,country,neighborhood,health,dbh,height,owner,url,urlimage,status,notes
38,tfo,London plane tree,Platanus x acerifolia 'Columbia',,-122.288091,37.809863,2016-03-26 09:00:00,1241 14th St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,,
39,tfo,London plane tree,Platanus x acerifolia 'Columbia',,-122.288226,37.809893,2016-03-26 09:00:00,1241 14th St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,missing,,,Public,,,,
198,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.182698,37.772048,2016-11-19 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,dead,,,Public,,,,Trauma to trunk
199,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.182620,37.772098,2016-11-19 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,Trauma to trunk
200,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.182553,37.772139,2016-11-19 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,
201,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.182491,37.772181,2016-11-19 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,
202,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.182412,37.772232,2016-11-19 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,
203,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.182352,37.772269,2016-11-19 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,
204,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.182283,37.772314,2016-11-19 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,
205,tfo,silver linden,Tilia tomentosa 'Sterling',,-122.182217,37.772358,2016-11-19 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,
250,tfo,river birch,Betula nigra 'Heritage',,-122.288947,37.818339,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Private,,,corner,
251,tfo,Saratoga laurel,Laurus nobilis 'Saratoga' (replace Quercus lobata/ valley oak),,-122.288979,37.818440,2019-11-20 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Private,,,replaced valley oak with Saratoga laurel,
252,tfo,Saratoga laurel,Laurus nobilis 'Saratoga' (replace Quercus lobata/ valley oak),,-122.288972,37.818536,2019-11-20 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Private,,,replaced valley oak with Saratoga laurel,
253,tfo,Saratoga laurel,Laurus nobilis 'Saratoga' (replace Quercus lobata/ valley oak),,-122.288967,37.818636,2019-11-20 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Private,,,replaced valley oak with Saratoga laurel,
254,tfo,Australian willow,Geijera parviflora,,-122.288994,37.818671,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Mandela #1 of 8 (southernmost),
255,tfo,Australian willow,Geijera parviflora,,-122.288992,37.818749,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Mandela #2 of 8,
256,tfo,Australian willow,Geijera parviflora,,-122.288986,37.818798,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Mandela #3 of 8,
257,tfo,Australian willow,Geijera parviflora,,-122.288974,37.818970,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Mandela #4 of 8,
258,tfo,Australian willow,Geijera parviflora,,-122.288972,37.819025,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Mandela #5 of 8,
259,tfo,Australian willow,Geijera parviflora,,-122.288963,37.819091,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Mandela #6 of 8,
260,tfo,valley oak,Quercus lobata Valley Oak,,-122.288981,37.819148,2017-01-28 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Mandela #7 of 8,
261,tfo,valley oak,Quercus lobata Valley Oak,,-122.288978,37.819227,2017-02-04 09:00:00,2431 Peralta St,Oakland,CA,,US,West Oakland - excluding parks/ Pacific Pipe / American Steel/ and condos,good,,,Public,,,Mandela #8 of 8 (northernmost),
289,tfo,incense cedar,Calocedrus decurrens,,-122.182306,37.772380,2017-03-11 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,3 Stake/ 3 brace
290,tfo,tupelo,Nyssa sylvatica 'Wildfire',,-122.182361,37.772334,2017-03-11 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,3 Stake/ 3 brace
291,tfo,purple-flowering locust,Robinia x ambigua 'Purple Robe',,-122.182406,37.772297,2017-03-11 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,P.R. Locust - prune winter '17,3 Stake/ 3 brace
292,tfo,tupelo,Nyssa sylvatica 'Wildfire',,-122.182483,37.772257,2017-03-11 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,3 Stake/ 3 brace
293,tfo,incense cedar,Calocedrus decurrens,,-122.182589,37.772186,2017-03-11 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,3 Stake/ 3 brace
294,tfo,purple-flowering locust,Robinia x ambigua 'Purple Robe',,-122.182607,37.772152,2017-03-11 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,P.R. Locust - prune winter '17,3 Stake/ 3 brace
295,tfo,tupelo,Nyssa sylvatica 'Wildfire',,-122.182673,37.772131,2017-03-11 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,3 Stake/ 3 brace
296,tfo,purple-flowering locust,Robinia x ambigua 'Purple Robe',,-122.182693,37.772097,2017-03-11 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,P.R. Locust - prune winter '17,3 Stake/ 3 brace
297,tfo,incense cedar,Calocedrus decurrens,,-122.182752,37.772079,2017-03-11 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,3 Stake/ 3 brace
298,tfo,red maple,Acer rubrum 'Brandywine',,-122.182281,37.772465,2017-03-11 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,3 Stake/ 3 brace
299,tfo,,Gymnocladus dioica 'Espresso',,-122.183044,37.772591,2017-03-11 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,dead,,,Public,,,,Health? 3 Stake/ 3 brace
308,tfo,red maple,Acer rubrum 'Brandywine',,-122.182373,37.772545,2017-03-18 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,3 Stake/ 3 brace
309,tfo,scarlet oak,Quercus coccinea,,-122.182527,37.772631,2017-03-18 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,3 Stake/ 3 brace
310,tfo,,Gymnocladus dioica 'Espresso',,-122.183117,37.772535,2017-03-18 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,dead,,,Public,,,,Health? 3 Stake/ 3 brace
353,tfo,purple-flowering locust,Robinia x ambigua 'Purple Robe',,-122.182485,37.772235,2017-04-15 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,P.R. Locust - prune winter '17,3 Stake/ 3 brace
354,tfo,purple-flowering locust,Robinia x ambigua 'Purple Robe',,-122.182529,37.772220,2017-04-15 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,P.R. Locust - prune winter '17,3 Stake/ 3 brace
355,tfo,tupelo,Nyssa sylvatica 'Haymanred' Red Rage tupelo,,-122.182554,37.772181,2017-04-15 09:00:00,6325 Camden St,Oakland,CA,,US,Picardy/Seminary,good,,,Public,,,,3 Stake/ 3 brace
418,tfo,London plane tree,Platanus x acerifolia 'Columbia' (3),,-122.298494,37.803110,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#1 of 25,Looks distressed. Might be swamped/ might be the weather.
419,tfo,London plane tree,Platanus x acerifolia 'Columbia' (3),,-122.299026,37.803243,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#2 of 25,
420,tfo,London plane tree,Platanus x acerifolia 'Columbia' (3),,-122.299134,37.803264,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#3 of 25,
421,tfo,Catalina ironwood,Lyonothamnus floribundus asplenifolius,,-122.300020,37.803090,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#4 of 25,
422,tfo,Catalina ironwood,Lyonothamnus floribundus asplenifolius,,-122.300055,37.803076,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#5 of 25,
423,tfo,Catalina ironwood,Lyonothamnus floribundus asplenifolius,,-122.300054,37.803099,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#6 of 25,
424,tfo,Catalina ironwood,Lyonothamnus floribundus asplenifolius,,-122.300088,37.803092,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#7 of 25,
425,tfo,Catalina ironwood,Lyonothamnus floribundus asplenifolius,,-122.300091,37.803119,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#8 of 25,
426,tfo,Canary Island pine,Pinus canariensis,,-122.300538,37.803319,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#9 of 25,
427,tfo,Canary Island pine,Pinus canariensis,,-122.300504,37.803322,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#10 of 25,
428,tfo,Canary Island pine,Pinus canariensis,,-122.300468,37.803359,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#11 of 25,
429,tfo,Canary Island pine,Pinus canariensis,,-122.300488,37.803388,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#12 of 25,
430,tfo,Canary Island pine,Pinus canariensis,,-122.300456,37.803386,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#13 of 25,
431,tfo,Afghan pine,Pinus eldarica,,-122.300369,37.803240,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#14 of 25,
432,tfo,Afghan pine,Pinus eldarica,,-122.300402,37.803281,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#15 of 25,
433,tfo,Afghan pine,Pinus eldarica,,-122.300459,37.803308,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#16 of 25,
434,tfo,Afghan pine,Pinus eldarica,,-122.300446,37.803401,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#17 of 25,
435,tfo,Afghan pine,Pinus eldarica,,-122.300429,37.803420,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#18 of 25,
436,tfo,Afghan pine,Pinus eldarica,,-122.300460,37.803424,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#19 of 25,
437,tfo,cajeput tree,Melaleuca quinquenervia,,-122.300326,37.803250,2018-06-21 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#20 of 25 - replaced June 2018,Leader is braced by strap
438,tfo,primrose tree,Lagunaria patersonii,,-122.300361,37.803254,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#21 of 25,Metal colar on crown at trunk
439,tfo,primrose tree,Lagunaria patersonii,,-122.300372,37.803284,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#22 of 25,Metal colar on crown at trunk
440,tfo,primrose tree,Lagunaria patersonii,,-122.300421,37.803332,2017-06-03 09:00:00,1691 3rd St,Oakland,CA,,US,South Prescott - South Prescott Park,good,,,Public,,,#23 of 25,Metal colar on crown at trunk
